date,cases,deaths,hospitalcritical
11/10/2020,7701761,206830,1646
12/10/2020,7745009,207114,1663
13/10/2020,7791923,207832,1757
14/10/2020,7849163,208633,1775
15/10/2020,7912804,209561,1773
16/10/2020,7981309,210452,1740
17/10/2020,8038984,211232,1791
18/10/2020,8086941,211637,1762
19/10/2020,8144591,212080,1804
20/10/2020,8205165,212913,2042
21/10/2020,8268021,213964,2083
22/10/2020,8340294,215058,2147
23/10/2020,8422869,216007,2180
24/10/2020,8506661,216903,2230
25/10/2020,8571132,217294,2176
26/10/2020,8634562,217691,2300
27/10/2020,8706817,218613,2283
28/10/2020,8786517,219660,2354
29/10/2020,8875882,220720,2399
30/10/2020,8973824,221667,2477
31/10/2020,9065117,222625,2502
01/11/2020,9207091,223035,2553
02/11/2020,9290545,223510,2633
03/11/2020,9410494,225027,2734
04/11/2020,9516490,226158,2832
05/11/2020,9635513,227312,2876
06/11/2020,9765503,228497,2850
07/11/2020,9897616,229622,2947
08/11/2020,10010061,230135,2977
09/11/2020,10128464,230712,3111
10/11/2020,10264033,232070,3202
11/11/2020,10413366,233647,3365
12/11/2020,10570908,234759,3622
13/11/2020,10745541,236060,3766
14/11/2020,10913267,237413,3945
15/11/2020,11060329,238125,3939
16/11/2020,11210306,238732,4156
17/11/2020,11370132,240285,4379
18/11/2020,11538352,242170,4699
19/11/2020,11726284,244180,4860
20/11/2020,11923448,246090,5058
21/11/2020,12109833,247641,5103
22/11/2020,12264021,248564,5233
23/11/2020,12418717,249417,5455
24/11/2020,12585220,251508,5626
25/11/2020,12773716,253789,5987
26/11/2020,12903480,255181,5986
27/11/2020,13102354,256585,6028
28/11/2020,13253823,257828,6148
29/11/2020,13391077,258653,6245
30/11/2020,13541108,259690,6520
01/12/2020,13722291,262179,6651
02/12/2020,13925720,264990,6855
03/12/2020,14141991,267812,6875
04/12/2020,14372304,270375,7018
05/12/2020,14591374,272861,7006
06/12/2020,14773954,274024,7095
07/12/2020,14955851,275315,7067
08/12/2020,15173695,277995,7251
09/12/2020,15390423,281164,7621
10/12/2020,15611269,284296,7444
11/12/2020,15848202,287043,7488
12/12/2020,16075106,289540,7515
13/12/2020,16262357,291041,7535
14/12/2020,16455643,292398,7699
15/12/2020,16648861,295322,7702
16/12/2020,16883149,298775,7782
17/12/2020,17126119,302240,7848
18/12/2020,17367905,305106,7786
19/12/2020,17572778,307814,7786
20/12/2020,17770272,309482,7695
21/12/2020,17949678,310962,7783
22/12/2020,18142686,314099,7830
23/12/2020,18367212,317492,7819
24/12/2020,18573896,320450,7792
